Source,Target
26,26
107,107
107,364
107,69423
107,168830
90281,90281
16614,16614
364,364
364,7809
364,195087
262770,92476
743,743
263010,92476
263089,92476
214060,214060
34061,78187
9542,9542
189839,21528
189839,189839
173634,4237
247393,92476
18564,3039
125081,125081
108772,108772
92476,92476
256611,107
28462,26
69423,107
20494,20494
20494,92476
4237,4237
4237,173634
78387,107
127867,127867
168830,107
21528,189839
227057,92476
104181,104182
87926,105417
96176,107
6096,119
6096,364
195087,364
31329,4237
15127,4237
163138,3039
56826,107
228939,4237
7809,364
